site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12,2013,2013,428516,2,nests,aerial,"</sub>author [1] ""Dean Anderson""   ""Fiona Shanhun""   ""Rebecca Macneil""  </sub>doi [1] ""10.7931/kf06-x745""  </sub>field [1] ""Dataset""  </sub>note [1] ""{Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745}""  </sub>title [1] ""{Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019}""  </sub>year [1] ""2021""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.7931/kf06-x745""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""manaakiwhenua2021aerial"" attr( ""dateobj"") [1] ""2021-01-01 CST"""
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12,2015,2015,445440,2,nests,aerial,"</sub>author [1] ""Dean Anderson""   ""Fiona Shanhun""   ""Rebecca Macneil""  </sub>doi [1] ""10.7931/kf06-x745""  </sub>field [1] ""Dataset""  </sub>note [1] ""{Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745}""  </sub>title [1] ""{Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019}""  </sub>year [1] ""2021""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.7931/kf06-x745""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""manaakiwhenua2021aerial"" attr( ""dateobj"") [1] ""2021-01-01 CST"""
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12,2018,2018,504332,2,nests,aerial,"</sub>author [1] ""Dean Anderson""   ""Fiona Shanhun""   ""Rebecca Macneil""  </sub>doi [1] ""10.7931/kf06-x745""  </sub>field [1] ""Dataset""  </sub>note [1] ""{Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745}""  </sub>title [1] ""{Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019}""  </sub>year [1] ""2021""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.7931/kf06-x745""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""manaakiwhenua2021aerial"" attr( ""dateobj"") [1] ""2021-01-01 CST"""
Ailsa Craig,AILS,48.2,-44.631,-60.78,chinstrap penguin,28,12,1983,1983,6000,4,nests,ground,"</sub>author [1] ""Sally Poncet""  ""J&eacute;r&ocirc;me Poncet""  </sub>journal [1] ""British Antarctic Survey Bulletin""  </sub>pages [1] ""71--81""  </sub>title [1] ""{A survey of penguin breeding populations at the South Orkey Islands}""  </sub>volume [1] ""68""  </sub>year [1] ""1985""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""poncet1985survey"" attr( ""dateobj"") [1] ""1985-01-01 CST"""
Ailsa Craig,AILS,48.2,-44.631,-60.78,chinstrap penguin,10,2,2020,2019,3000,5,nests,vhr,"</sub>author [1] ""Noah Strycker""      ""Michael Wethington"" ""Alex Borowicz""      ""Steve Forrest""      ""Chandi Witharana""   ""Tom Hart""           [7] ""Heather J. Lynch""    </sub>doi [1] ""10.1038/s41598-020-76479-3""  </sub>journal [1] ""Scientific Reports""  </sub>number [1] ""1""  </sub>pages [1] ""1--11""  </sub>title [1] ""{A global population assessment of the chinstrap penguin .\emph{Pygoscelis antarctica}})""  </sub>volume [1] ""10""  </sub>year [1] ""2020""  </sub>`bdsk-url-1` [1] ""https://doi.org/10.1038/s41598-020-76479-3""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""strycker2020a-global"" attr( ""dateobj"") [1] ""2020-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,25,11,1997,1997,4608,1,nests,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,25,1,2009,2008,8307,1,chicks,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,26,11,2008,2008,5620,1,nests,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,22,1,2010,2009,4870,1,chicks,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,17,11,2011,2011,4047,1,nests,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,27,12,2018,2018,3797,1,nests,ground,"</sub>author [1] ""Heather J. Lynch""  </sub>field [1] ""Dataset""  </sub>title [1] ""{Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset}""  </sub>year [1] ""2022""  attr( ""bibtype"") [1] ""Unpublished"" attr( ""key"") [1] ""lynchantarctic"" attr( ""dateobj"") [1] ""2022-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,13,12,1999,1999,1177,1,nests,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,11,1,2002,2001,1236,1,chicks,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,20,12,2003,2003,1486,1,nests,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,22,1,2006,2005,2483,1,chicks,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,18,11,2005,2005,1998,1,nests,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,20,12,2006,2006,1639,1,nests,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,3,12,2007,2007,1383,1,nests,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,4,11,2008,2008,2210,1,nests,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,gentoo penguin,29,12,2008,2008,2742,1,chicks,ground,"</sub>author [1] ""Heather J. Lynch"" ""Ron Naveen""       ""Paula Casanovas""   </sub>doi [1] ""10.1890/13-1108.1""  </sub>journal [1] ""Ecology""  </sub>number [1] ""11""  </sub>pages [1] ""2653--2653""  </sub>title [1] ""{Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243}""  </sub>volume [1] ""94""  </sub>year [1] ""2013""  </sub>`bdsk-url-1` [1] ""http://dx.doi.org/10.1890/13-1108.1""  attr( ""bibtype"") [1] ""Article"" attr( ""key"") [1] ""lynch2013antarctic"" attr( ""dateobj"") [1] ""2013-01-01 CST"""
